nationality,era_name,birth_year_band,gender,target_count,collected_count,candidate_count,license_rejected_count,download_failure_count,shortage_reason
Japan,古代前期,紀元前400–紀元前1,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Japan,古代前期,紀元前400–紀元前1,female,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Japan,古代後期,1–499,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Japan,古代後期,1–499,female,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Japan,中世前期,500–999,male,5,2,3,0,1,候補はあったがダウンロード失敗が発生した
Japan,中世前期,500–999,female,5,1,3,0,1,候補はあったがダウンロード失敗が発生した
Japan,中世後期,1000–1399,male,5,3,5,0,2,候補はあったがダウンロード失敗が発生した
Japan,中世後期,1000–1399,female,5,0,2,0,2,候補はあったがダウンロード失敗が発生した
Japan,ルネサンス・初期近世,1400–1599,male,5,5,6,0,0,
Japan,ルネサンス・初期近世,1400–1599,female,5,2,2,0,0,候補はあったが目標件数まで到達しなかった
Japan,近世前期,1600–1699,male,5,5,9,0,1,
Japan,近世前期,1600–1699,female,5,4,7,0,2,候補はあったがダウンロード失敗が発生した
Japan,近世後期,1700–1799,male,5,5,18,0,12,
Japan,近世後期,1700–1799,female,5,5,19,0,13,
Japan,近代前期,1800–1849,male,5,5,19,0,11,
Japan,近代前期,1800–1849,female,5,5,21,0,14,
Japan,近代後期,1850–1899,male,5,5,9,0,3,
Japan,近代後期,1850–1899,female,5,5,11,0,4,
Japan,現代前期,1900–1949,male,5,5,13,0,2,
Japan,現代前期,1900–1949,female,5,5,11,0,3,
Japan,現代中期,1950–1979,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Japan,現代中期,1950–1979,female,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Japan,現代後期,1980–1999,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Japan,現代後期,1980–1999,female,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Japan,現代最年少,2000–2009,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Japan,現代最年少,2000–2009,female,5,5,125,0,0,
United Kingdom,古代前期,紀元前400–紀元前1,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
United Kingdom,古代前期,紀元前400–紀元前1,female,5,0,0,0,0,Wikidata 上で候補が見つからなかった
United Kingdom,古代後期,1–499,male,5,3,3,0,0,候補はあったが目標件数まで到達しなかった
United Kingdom,古代後期,1–499,female,5,0,3,0,0,候補はあったが目標件数まで到達しなかった
United Kingdom,中世前期,500–999,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
United Kingdom,中世前期,500–999,female,5,0,0,0,0,Wikidata 上で候補が見つからなかった
United Kingdom,中世後期,1000–1399,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
United Kingdom,中世後期,1000–1399,female,5,0,0,0,0,Wikidata 上で候補が見つからなかった
United Kingdom,ルネサンス・初期近世,1400–1599,male,5,1,1,0,0,候補はあったが目標件数まで到達しなかった
United Kingdom,ルネサンス・初期近世,1400–1599,female,5,0,0,0,0,Wikidata 上で候補が見つからなかった
United Kingdom,近世前期,1600–1699,male,5,5,6,0,0,
United Kingdom,近世前期,1600–1699,female,5,4,4,0,0,候補はあったが目標件数まで到達しなかった
United Kingdom,近世後期,1700–1799,male,5,5,11,0,5,
United Kingdom,近世後期,1700–1799,female,5,5,13,0,5,
United Kingdom,近代前期,1800–1849,male,5,5,10,0,3,
United Kingdom,近代前期,1800–1849,female,5,5,9,0,3,
United Kingdom,近代後期,1850–1899,male,5,5,9,0,3,
United Kingdom,近代後期,1850–1899,female,5,5,11,0,4,
United Kingdom,現代前期,1900–1949,male,5,5,8,0,1,
United Kingdom,現代前期,1900–1949,female,5,5,8,0,1,
United Kingdom,現代中期,1950–1979,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
United Kingdom,現代中期,1950–1979,female,5,0,0,0,0,Wikidata 上で候補が見つからなかった
United Kingdom,現代後期,1980–1999,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
United Kingdom,現代後期,1980–1999,female,5,0,0,0,0,Wikidata 上で候補が見つからなかった
United Kingdom,現代最年少,2000–2009,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
United Kingdom,現代最年少,2000–2009,female,5,0,0,0,0,Wikidata 上で候補が見つからなかった
France,古代前期,紀元前400–紀元前1,male,5,0,1,0,1,候補はあったがダウンロード失敗が発生した
France,古代前期,紀元前400–紀元前1,female,5,0,0,0,0,Wikidata 上で候補が見つからなかった
France,古代後期,1–499,male,5,0,1,0,1,候補はあったがダウンロード失敗が発生した
France,古代後期,1–499,female,5,0,0,0,0,Wikidata 上で候補が見つからなかった
France,中世前期,500–999,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
France,中世前期,500–999,female,5,0,0,0,0,Wikidata 上で候補が見つからなかった
France,中世後期,1000–1399,male,5,4,17,0,13,候補はあったがダウンロード失敗が発生した
France,中世後期,1000–1399,female,5,1,15,0,13,候補はあったがダウンロード失敗が発生した
France,ルネサンス・初期近世,1400–1599,male,5,5,21,0,15,
France,ルネサンス・初期近世,1400–1599,female,5,5,21,0,13,
France,近世前期,1600–1699,male,5,5,13,0,5,
France,近世前期,1600–1699,female,5,2,11,0,6,候補はあったがダウンロード失敗が発生した
France,近世後期,1700–1799,male,5,5,21,0,15,
France,近世後期,1700–1799,female,5,5,21,0,15,
France,近代前期,1800–1849,male,5,5,22,0,15,
France,近代前期,1800–1849,female,5,5,21,0,15,
France,近代後期,1850–1899,male,5,5,21,0,15,
France,近代後期,1850–1899,female,5,5,21,0,15,
France,現代前期,1900–1949,male,5,5,14,0,8,
France,現代前期,1900–1949,female,5,5,16,0,10,
France,現代中期,1950–1979,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
France,現代中期,1950–1979,female,5,0,1,0,0,候補はあったが目標件数まで到達しなかった
France,現代後期,1980–1999,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
France,現代後期,1980–1999,female,5,0,1,0,0,候補はあったが目標件数まで到達しなかった
France,現代最年少,2000–2009,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
France,現代最年少,2000–2009,female,5,0,0,0,0,Wikidata 上で候補が見つからなかった
China,古代前期,紀元前400–紀元前1,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
China,古代前期,紀元前400–紀元前1,female,5,1,1,0,0,候補はあったが目標件数まで到達しなかった
China,古代後期,1–499,male,5,1,1,0,0,候補はあったが目標件数まで到達しなかった
China,古代後期,1–499,female,5,1,3,0,1,候補はあったがダウンロード失敗が発生した
China,中世前期,500–999,male,5,5,6,0,1,
China,中世前期,500–999,female,5,5,10,0,4,
China,中世後期,1000–1399,male,5,5,8,0,1,
China,中世後期,1000–1399,female,5,5,9,0,2,
China,ルネサンス・初期近世,1400–1599,male,5,5,7,0,0,
China,ルネサンス・初期近世,1400–1599,female,5,5,9,0,0,
China,近世前期,1600–1699,male,5,5,14,0,4,
China,近世前期,1600–1699,female,5,5,17,0,4,
China,近世後期,1700–1799,male,5,5,21,0,15,
China,近世後期,1700–1799,female,5,5,24,0,15,
China,近代前期,1800–1849,male,5,5,23,0,15,
China,近代前期,1800–1849,female,5,5,26,0,15,
China,近代後期,1850–1899,male,5,5,26,0,15,
China,近代後期,1850–1899,female,5,5,26,0,15,
China,現代前期,1900–1949,male,5,5,22,0,11,
China,現代前期,1900–1949,female,5,5,25,0,15,
China,現代中期,1950–1979,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
China,現代中期,1950–1979,female,5,0,2,0,0,候補はあったが目標件数まで到達しなかった
China,現代後期,1980–1999,male,5,3,3,0,0,候補はあったが目標件数まで到達しなかった
China,現代後期,1980–1999,female,5,5,5,0,0,
China,現代最年少,2000–2009,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
China,現代最年少,2000–2009,female,5,0,0,0,0,Wikidata 上で候補が見つからなかった
United States,古代前期,紀元前400–紀元前1,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
United States,古代前期,紀元前400–紀元前1,female,5,0,0,0,0,Wikidata 上で候補が見つからなかった
United States,古代後期,1–499,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
United States,古代後期,1–499,female,5,0,0,0,0,Wikidata 上で候補が見つからなかった
United States,中世前期,500–999,male,5,0,4,0,4,候補はあったがダウンロード失敗が発生した
United States,中世前期,500–999,female,5,0,4,0,4,候補はあったがダウンロード失敗が発生した
United States,中世後期,1000–1399,male,5,0,5,0,5,候補はあったがダウンロード失敗が発生した
United States,中世後期,1000–1399,female,5,0,6,0,6,候補はあったがダウンロード失敗が発生した
United States,ルネサンス・初期近世,1400–1599,male,5,0,3,0,3,候補はあったがダウンロード失敗が発生した
United States,ルネサンス・初期近世,1400–1599,female,5,0,4,0,4,候補はあったがダウンロード失敗が発生した
United States,近世前期,1600–1699,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
United States,近世前期,1600–1699,female,5,1,1,0,0,候補はあったが目標件数まで到達しなかった
United States,近世後期,1700–1799,male,5,5,12,0,6,
United States,近世後期,1700–1799,female,5,5,15,0,8,
United States,近代前期,1800–1849,male,5,5,21,0,14,
United States,近代前期,1800–1849,female,5,5,21,0,15,
United States,近代後期,1850–1899,male,5,5,21,0,15,
United States,近代後期,1850–1899,female,5,5,21,0,15,
United States,現代前期,1900–1949,male,5,5,15,0,8,
United States,現代前期,1900–1949,female,5,5,22,0,14,
United States,現代中期,1950–1979,male,5,1,1,0,0,候補はあったが目標件数まで到達しなかった
United States,現代中期,1950–1979,female,5,0,0,0,0,Wikidata 上で候補が見つからなかった
United States,現代後期,1980–1999,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
United States,現代後期,1980–1999,female,5,0,0,0,0,Wikidata 上で候補が見つからなかった
United States,現代最年少,2000–2009,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
United States,現代最年少,2000–2009,female,5,0,0,0,0,Wikidata 上で候補が見つからなかった
India,古代前期,紀元前400–紀元前1,male,5,5,6,0,0,
India,古代前期,紀元前400–紀元前1,female,5,0,0,0,0,Wikidata 上で候補が見つからなかった
India,古代後期,1–499,male,5,2,2,0,0,候補はあったが目標件数まで到達しなかった
India,古代後期,1–499,female,5,3,4,0,0,候補はあったが目標件数まで到達しなかった
India,中世前期,500–999,male,5,1,3,0,2,候補はあったがダウンロード失敗が発生した
India,中世前期,500–999,female,5,2,4,0,2,候補はあったがダウンロード失敗が発生した
India,中世後期,1000–1399,male,5,3,6,0,2,候補はあったがダウンロード失敗が発生した
India,中世後期,1000–1399,female,5,1,4,0,3,候補はあったがダウンロード失敗が発生した
India,ルネサンス・初期近世,1400–1599,male,5,5,11,0,5,
India,ルネサンス・初期近世,1400–1599,female,5,5,12,0,6,
India,近世前期,1600–1699,male,5,5,16,0,10,
India,近世前期,1600–1699,female,5,5,16,0,10,
India,近世後期,1700–1799,male,5,5,22,0,11,
India,近世後期,1700–1799,female,5,5,19,0,12,
India,近代前期,1800–1849,male,5,5,19,0,13,
India,近代前期,1800–1849,female,5,5,24,0,15,
India,近代後期,1850–1899,male,5,5,15,0,6,
India,近代後期,1850–1899,female,5,5,15,0,7,
India,現代前期,1900–1949,male,5,5,13,0,4,
India,現代前期,1900–1949,female,5,5,11,0,4,
India,現代中期,1950–1979,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
India,現代中期,1950–1979,female,5,0,3,0,0,候補はあったが目標件数まで到達しなかった
India,現代後期,1980–1999,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
India,現代後期,1980–1999,female,5,0,3,0,0,候補はあったが目標件数まで到達しなかった
India,現代最年少,2000–2009,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
India,現代最年少,2000–2009,female,5,5,125,0,0,
Germany,古代前期,紀元前400–紀元前1,male,5,0,1,0,1,候補はあったがダウンロード失敗が発生した
Germany,古代前期,紀元前400–紀元前1,female,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Germany,古代後期,1–499,male,5,0,1,0,1,候補はあったがダウンロード失敗が発生した
Germany,古代後期,1–499,female,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Germany,中世前期,500–999,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Germany,中世前期,500–999,female,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Germany,中世後期,1000–1399,male,5,1,4,0,3,候補はあったがダウンロード失敗が発生した
Germany,中世後期,1000–1399,female,5,0,5,0,5,候補はあったがダウンロード失敗が発生した
Germany,ルネサンス・初期近世,1400–1599,male,5,5,21,0,15,
Germany,ルネサンス・初期近世,1400–1599,female,5,5,22,0,15,
Germany,近世前期,1600–1699,male,5,5,11,0,5,
Germany,近世前期,1600–1699,female,5,5,10,0,4,
Germany,近世後期,1700–1799,male,5,5,15,0,9,
Germany,近世後期,1700–1799,female,5,5,14,0,8,
Germany,近代前期,1800–1849,male,5,5,10,0,2,
Germany,近代前期,1800–1849,female,5,5,11,0,3,
Germany,近代後期,1850–1899,male,5,5,10,0,3,
Germany,近代後期,1850–1899,female,5,5,12,0,5,
Germany,現代前期,1900–1949,male,5,5,9,0,2,
Germany,現代前期,1900–1949,female,5,5,8,0,2,
Germany,現代中期,1950–1979,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
