nationality,era_name,birth_year_band,gender,target_count,collected_count,candidate_count,license_rejected_count,download_failure_count,shortage_reason
Japan,近世前期,1600–1699,male,5,5,9,0,1,
Japan,近世後期,1700–1799,female,5,5,19,0,13,
Japan,近代前期,1800–1849,female,5,5,21,0,14,
Japan,現代前期,1900–1949,female,5,5,11,0,3,
Japan,現代最年少,2000–2009,female,5,5,125,0,0,
United Kingdom,近世前期,1600–1699,male,5,5,6,0,0,
United Kingdom,近世後期,1700–1799,male,5,5,11,0,5,
United Kingdom,近世後期,1700–1799,female,5,5,13,0,5,
United Kingdom,近代前期,1800–1849,male,5,5,10,0,3,
United Kingdom,近代前期,1800–1849,female,5,5,9,0,3,
United Kingdom,近代後期,1850–1899,male,5,5,9,0,3,
United Kingdom,近代後期,1850–1899,female,5,5,11,0,4,
United Kingdom,現代前期,1900–1949,male,5,5,8,0,1,
United Kingdom,現代前期,1900–1949,female,5,5,8,0,1,
France,ルネサンス・初期近世,1400–1599,female,5,5,21,0,13,
France,近世前期,1600–1699,male,5,5,13,0,5,
France,近世後期,1700–1799,male,5,5,21,0,15,
France,近世後期,1700–1799,female,5,5,21,0,15,
France,近代前期,1800–1849,male,5,5,22,0,15,
France,近代前期,1800–1849,female,5,5,21,0,15,
France,近代後期,1850–1899,male,5,5,21,0,15,
France,近代後期,1850–1899,female,5,5,21,0,15,
France,現代前期,1900–1949,male,5,5,14,0,8,
France,現代前期,1900–1949,female,5,5,16,0,10,
China,中世後期,1000–1399,male,5,5,8,0,1,
China,中世後期,1000–1399,female,5,5,9,0,2,
China,近世前期,1600–1699,female,5,5,17,0,4,
China,近代前期,1800–1849,female,5,5,26,0,15,
China,近代後期,1850–1899,female,5,5,26,0,15,
China,現代前期,1900–1949,male,5,5,22,0,11,
China,現代前期,1900–1949,female,5,5,25,0,15,
China,現代後期,1980–1999,female,5,5,5,0,0,
United States,近世後期,1700–1799,male,5,5,12,0,6,
United States,近世後期,1700–1799,female,5,5,15,0,8,
United States,近代前期,1800–1849,male,5,5,21,0,14,
United States,近代後期,1850–1899,male,5,5,21,0,15,
United States,近代後期,1850–1899,female,5,5,21,0,15,
United States,現代前期,1900–1949,male,5,5,15,0,8,
United States,現代前期,1900–1949,female,5,5,22,0,14,
India,古代前期,紀元前400–紀元前1,male,5,5,6,0,0,
India,ルネサンス・初期近世,1400–1599,male,5,5,11,0,5,
India,近世前期,1600–1699,female,5,5,16,0,10,
India,近世後期,1700–1799,male,5,5,22,0,11,
India,近世後期,1700–1799,female,5,5,19,0,12,
India,近代前期,1800–1849,male,5,5,19,0,13,
India,近代後期,1850–1899,male,5,5,15,0,6,
India,近代後期,1850–1899,female,5,5,15,0,7,
India,現代最年少,2000–2009,female,5,5,125,0,0,
Germany,ルネサンス・初期近世,1400–1599,male,5,5,21,0,15,
Germany,近代前期,1800–1849,female,5,5,11,0,3,
Germany,近代後期,1850–1899,female,5,5,12,0,5,
Germany,現代前期,1900–1949,female,5,5,8,0,2,候補はあったがダウンロード失敗が発生した
Netherlands,中世後期,1000–1399,female,5,5,9,0,0,
Netherlands,ルネサンス・初期近世,1400–1599,male,5,5,10,0,2,
Netherlands,ルネサンス・初期近世,1400–1599,female,5,5,72,0,0,
Netherlands,近世前期,1600–1699,male,5,5,21,0,15,
Netherlands,近世前期,1600–1699,female,5,5,34,0,0,
Netherlands,近世後期,1700–1799,male,5,5,11,0,5,
Netherlands,近代前期,1800–1849,female,5,5,12,0,3,
Netherlands,近代後期,1850–1899,female,5,5,21,0,15,
Netherlands,現代最年少,2000–2009,female,5,5,129,0,0,
Sweden,中世後期,1000–1399,female,5,5,5,0,0,
Sweden,ルネサンス・初期近世,1400–1599,female,5,5,29,0,0,
Sweden,近世前期,1600–1699,female,5,5,36,0,5,
Sweden,近世後期,1700–1799,female,5,5,58,0,1,
Sweden,近代後期,1850–1899,male,5,5,11,0,2,
Sweden,現代前期,1900–1949,male,5,5,8,0,1,
Sweden,現代後期,1980–1999,female,5,5,35,0,0,
Sweden,現代最年少,2000–2009,female,5,5,92,0,0,
Italy,古代後期,1–499,female,5,5,7,0,1,
Italy,ルネサンス・初期近世,1400–1599,male,5,5,22,0,15,
Italy,ルネサンス・初期近世,1400–1599,female,5,5,23,0,15,
Italy,近世後期,1700–1799,female,5,5,23,0,15,
Italy,近代前期,1800–1849,female,5,5,15,0,9,
Italy,近代後期,1850–1899,male,5,5,16,0,9,
Italy,近代後期,1850–1899,female,5,5,19,0,10,
Canada,近代後期,1850–1899,male,5,5,7,0,0,
Canada,近代後期,1850–1899,female,5,5,6,0,0,
Spain,近世後期,1700–1799,male,5,5,20,0,8,
Spain,近代前期,1800–1849,male,5,5,22,0,12,
Spain,近代後期,1850–1899,male,5,5,21,0,11,
Spain,近代後期,1850–1899,female,5,5,21,0,14,
Spain,現代前期,1900–1949,male,5,5,11,0,5,
Spain,現代前期,1900–1949,female,5,5,12,0,5,
Switzerland,古代前期,紀元前400–紀元前1,female,5,5,1,0,0,
Switzerland,中世後期,1000–1399,female,5,5,7,0,0,
Switzerland,ルネサンス・初期近世,1400–1599,female,5,5,10,0,0,
Switzerland,近世前期,1600–1699,female,5,5,9,0,0,
Switzerland,近世後期,1700–1799,female,5,5,52,0,0,
