nationality,era_name,birth_year_band,gender,target_count,collected_count,candidate_count,license_rejected_count,download_failure_count,shortage_reason
Japan,古代前期,紀元前400–紀元前1,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Japan,古代前期,紀元前400–紀元前1,female,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Japan,古代後期,1–499,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Japan,古代後期,1–499,female,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Japan,中世前期,500–999,male,5,2,3,0,1,候補はあったがダウンロード失敗が発生した
Japan,中世前期,500–999,female,5,1,3,0,1,候補はあったがダウンロード失敗が発生した
Japan,中世後期,1000–1399,male,5,3,5,0,2,候補はあったがダウンロード失敗が発生した
Japan,中世後期,1000–1399,female,5,0,2,0,2,候補はあったがダウンロード失敗が発生した
Japan,ルネサンス・初期近世,1400–1599,female,5,2,2,0,0,候補はあったが目標件数まで到達しなかった
Japan,近世前期,1600–1699,female,5,4,7,0,2,候補はあったがダウンロード失敗が発生した
Japan,現代中期,1950–1979,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Japan,現代中期,1950–1979,female,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Japan,現代後期,1980–1999,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Japan,現代後期,1980–1999,female,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Japan,現代最年少,2000–2009,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
United Kingdom,古代前期,紀元前400–紀元前1,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
United Kingdom,古代前期,紀元前400–紀元前1,female,5,0,0,0,0,Wikidata 上で候補が見つからなかった
United Kingdom,古代後期,1–499,male,5,3,3,0,0,候補はあったが目標件数まで到達しなかった
United Kingdom,古代後期,1–499,female,5,0,3,0,0,候補はあったが目標件数まで到達しなかった
United Kingdom,中世前期,500–999,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
United Kingdom,中世前期,500–999,female,5,0,0,0,0,Wikidata 上で候補が見つからなかった
United Kingdom,中世後期,1000–1399,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
United Kingdom,中世後期,1000–1399,female,5,0,0,0,0,Wikidata 上で候補が見つからなかった
United Kingdom,ルネサンス・初期近世,1400–1599,male,5,1,1,0,0,候補はあったが目標件数まで到達しなかった
United Kingdom,ルネサンス・初期近世,1400–1599,female,5,0,0,0,0,Wikidata 上で候補が見つからなかった
United Kingdom,近世前期,1600–1699,female,5,4,4,0,0,候補はあったが目標件数まで到達しなかった
United Kingdom,現代中期,1950–1979,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
United Kingdom,現代中期,1950–1979,female,5,0,0,0,0,Wikidata 上で候補が見つからなかった
United Kingdom,現代後期,1980–1999,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
United Kingdom,現代後期,1980–1999,female,5,0,0,0,0,Wikidata 上で候補が見つからなかった
United Kingdom,現代最年少,2000–2009,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
United Kingdom,現代最年少,2000–2009,female,5,0,0,0,0,Wikidata 上で候補が見つからなかった
France,古代前期,紀元前400–紀元前1,male,5,0,1,0,1,候補はあったがダウンロード失敗が発生した
France,古代前期,紀元前400–紀元前1,female,5,0,0,0,0,Wikidata 上で候補が見つからなかった
France,古代後期,1–499,male,5,0,1,0,1,候補はあったがダウンロード失敗が発生した
France,古代後期,1–499,female,5,0,0,0,0,Wikidata 上で候補が見つからなかった
France,中世前期,500–999,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
France,中世前期,500–999,female,5,0,0,0,0,Wikidata 上で候補が見つからなかった
France,中世後期,1000–1399,male,5,4,17,0,13,候補はあったがダウンロード失敗が発生した
France,中世後期,1000–1399,female,5,1,15,0,13,候補はあったがダウンロード失敗が発生した
France,近世前期,1600–1699,female,5,2,11,0,6,候補はあったがダウンロード失敗が発生した
France,現代中期,1950–1979,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
France,現代中期,1950–1979,female,5,0,1,0,0,候補はあったが目標件数まで到達しなかった
France,現代後期,1980–1999,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
France,現代後期,1980–1999,female,5,0,1,0,0,候補はあったが目標件数まで到達しなかった
France,現代最年少,2000–2009,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
France,現代最年少,2000–2009,female,5,0,0,0,0,Wikidata 上で候補が見つからなかった
China,古代前期,紀元前400–紀元前1,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
China,古代前期,紀元前400–紀元前1,female,5,1,1,0,0,候補はあったが目標件数まで到達しなかった
China,古代後期,1–499,male,5,1,1,0,0,候補はあったが目標件数まで到達しなかった
China,古代後期,1–499,female,5,1,3,0,1,候補はあったがダウンロード失敗が発生した
China,現代中期,1950–1979,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
China,現代中期,1950–1979,female,5,0,2,0,0,候補はあったが目標件数まで到達しなかった
China,現代後期,1980–1999,male,5,3,3,0,0,候補はあったが目標件数まで到達しなかった
China,現代最年少,2000–2009,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
China,現代最年少,2000–2009,female,5,0,0,0,0,Wikidata 上で候補が見つからなかった
United States,古代前期,紀元前400–紀元前1,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
United States,古代前期,紀元前400–紀元前1,female,5,0,0,0,0,Wikidata 上で候補が見つからなかった
United States,古代後期,1–499,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
United States,古代後期,1–499,female,5,0,0,0,0,Wikidata 上で候補が見つからなかった
United States,中世前期,500–999,male,5,0,4,0,4,候補はあったがダウンロード失敗が発生した
United States,中世前期,500–999,female,5,0,4,0,4,候補はあったがダウンロード失敗が発生した
United States,中世後期,1000–1399,male,5,0,5,0,5,候補はあったがダウンロード失敗が発生した
United States,中世後期,1000–1399,female,5,0,6,0,6,候補はあったがダウンロード失敗が発生した
United States,ルネサンス・初期近世,1400–1599,male,5,0,3,0,3,候補はあったがダウンロード失敗が発生した
United States,ルネサンス・初期近世,1400–1599,female,5,0,4,0,4,候補はあったがダウンロード失敗が発生した
United States,近世前期,1600–1699,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
United States,近世前期,1600–1699,female,5,1,1,0,0,候補はあったが目標件数まで到達しなかった
United States,現代中期,1950–1979,male,5,1,1,0,0,候補はあったが目標件数まで到達しなかった
United States,現代中期,1950–1979,female,5,0,0,0,0,Wikidata 上で候補が見つからなかった
United States,現代後期,1980–1999,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
United States,現代後期,1980–1999,female,5,0,0,0,0,Wikidata 上で候補が見つからなかった
United States,現代最年少,2000–2009,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
United States,現代最年少,2000–2009,female,5,0,0,0,0,Wikidata 上で候補が見つからなかった
India,古代前期,紀元前400–紀元前1,female,5,0,0,0,0,Wikidata 上で候補が見つからなかった
India,古代後期,1–499,male,5,2,2,0,0,候補はあったが目標件数まで到達しなかった
India,古代後期,1–499,female,5,3,4,0,0,候補はあったが目標件数まで到達しなかった
India,中世前期,500–999,male,5,1,3,0,2,候補はあったがダウンロード失敗が発生した
India,中世前期,500–999,female,5,2,4,0,2,候補はあったがダウンロード失敗が発生した
India,中世後期,1000–1399,male,5,3,6,0,2,候補はあったがダウンロード失敗が発生した
India,中世後期,1000–1399,female,5,1,4,0,3,候補はあったがダウンロード失敗が発生した
India,現代中期,1950–1979,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
India,現代中期,1950–1979,female,5,0,3,0,0,候補はあったが目標件数まで到達しなかった
India,現代後期,1980–1999,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
India,現代後期,1980–1999,female,5,0,3,0,0,候補はあったが目標件数まで到達しなかった
India,現代最年少,2000–2009,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Germany,古代前期,紀元前400–紀元前1,male,5,0,1,0,1,候補はあったがダウンロード失敗が発生した
Germany,古代前期,紀元前400–紀元前1,female,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Germany,古代後期,1–499,male,5,0,1,0,1,候補はあったがダウンロード失敗が発生した
Germany,古代後期,1–499,female,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Germany,中世前期,500–999,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Germany,中世前期,500–999,female,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Germany,中世後期,1000–1399,male,5,1,4,0,3,候補はあったがダウンロード失敗が発生した
Germany,中世後期,1000–1399,female,5,0,5,0,5,候補はあったがダウンロード失敗が発生した
Germany,現代中期,1950–1979,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Germany,現代中期,1950–1979,female,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Germany,現代後期,1980–1999,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Germany,現代後期,1980–1999,female,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Germany,現代最年少,2000–2009,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Germany,現代最年少,2000–2009,female,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Netherlands,古代前期,紀元前400–紀元前1,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Netherlands,古代前期,紀元前400–紀元前1,female,5,1,1,0,0,候補はあったが目標件数まで到達しなかった
Netherlands,古代後期,1–499,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Netherlands,古代後期,1–499,female,5,3,3,0,0,候補はあったが目標件数まで到達しなかった
Netherlands,中世前期,500–999,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Netherlands,中世前期,500–999,female,5,2,2,0,0,候補はあったが目標件数まで到達しなかった
Netherlands,中世後期,1000–1399,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Netherlands,現代中期,1950–1979,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Netherlands,現代中期,1950–1979,female,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Netherlands,現代後期,1980–1999,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Netherlands,現代後期,1980–1999,female,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Netherlands,現代最年少,2000–2009,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Sweden,古代前期,紀元前400–紀元前1,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Sweden,古代前期,紀元前400–紀元前1,female,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Sweden,古代後期,1–499,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Sweden,古代後期,1–499,female,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Sweden,中世前期,500–999,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Sweden,中世前期,500–999,female,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Sweden,中世後期,1000–1399,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Sweden,ルネサンス・初期近世,1400–1599,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Sweden,近世前期,1600–1699,male,5,1,1,0,0,候補はあったが目標件数まで到達しなかった
Sweden,近世後期,1700–1799,male,5,4,4,0,0,候補はあったが目標件数まで到達しなかった
Sweden,近代前期,1800–1849,male,5,2,4,0,0,候補はあったが目標件数まで到達しなかった
Sweden,近代前期,1800–1849,female,5,0,2,0,0,候補はあったが目標件数まで到達しなかった
Sweden,現代中期,1950–1979,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Sweden,現代中期,1950–1979,female,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Sweden,現代後期,1980–1999,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Sweden,現代最年少,2000–2009,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Italy,古代後期,1–499,male,5,3,9,0,3,候補はあったがダウンロード失敗が発生した
Italy,中世前期,500–999,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Italy,中世前期,500–999,female,5,0,1,0,0,候補はあったが目標件数まで到達しなかった
Italy,現代中期,1950–1979,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Italy,現代中期,1950–1979,female,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Italy,現代後期,1980–1999,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Italy,現代後期,1980–1999,female,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Italy,現代最年少,2000–2009,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Italy,現代最年少,2000–2009,female,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Canada,古代前期,紀元前400–紀元前1,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Canada,古代前期,紀元前400–紀元前1,female,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Canada,古代後期,1–499,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Canada,古代後期,1–499,female,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Canada,中世前期,500–999,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Canada,中世前期,500–999,female,5,0,0,0,0,Wikidata 上で候補が見つからなかった
Canada,中世後期,1000–1399,male,5,0,0,0,0,Wikidata 上で候補が見つからなかった
