country_code,country_name,wikidata_qid
japan,Japan,Q17
united_kingdom,United Kingdom,Q145
france,France,Q142
china,China,Q148
united_states,United States,Q30
india,India,Q668
germany,Germany,Q183
netherlands,Netherlands,Q55
sweden,Sweden,Q34
italy,Italy,Q38
canada,Canada,Q16
spain,Spain,Q29
switzerland,Switzerland,Q39
russia,Russia,Q159
poland,Poland,Q36
brazil,Brazil,Q155
australia,Australia,Q408
mexico,Mexico,Q96
egypt,Egypt,Q79
south_korea,South Korea,Q884
turkey,Turkey,Q43
taiwan,Taiwan,Q865
argentina,Argentina,Q414
iran,Iran,Q794
israel,Israel,Q801
south_africa,South Africa,Q258
hungary,Hungary,Q28
austria,Austria,Q40
indonesia,Indonesia,Q252
singapore,Singapore,Q334
